Ticker,Direction,Date,Date2,Date3
A ,,2010-01-01,2020-01-01,
AAL ,,2010-01-01,2020-01-01,
AAP ,,2010-01-01,2020-01-01,
AAPL ,,2010-01-01,2020-01-01,
ABBV ,,2010-01-01,2020-01-01,
ABC ,,2010-01-01,2020-01-01,
ABMD ,,2010-01-01,2020-01-01,
ABT ,,2010-01-01,2020-01-01,
ACN ,,2010-01-01,2020-01-01,
ADBE ,,2010-01-01,2020-01-01,
ADI ,,2010-01-01,2020-01-01,
ADM ,,2010-01-01,2020-01-01,
ADP ,,2010-01-01,2020-01-01,
ADS ,,2010-01-01,2020-01-01,
ADSK ,,2010-01-01,2020-01-01,
AEE ,,2010-01-01,2020-01-01,
AEP ,,2010-01-01,2020-01-01,
AES ,,2010-01-01,2020-01-01,
AFL ,,2010-01-01,2020-01-01,
AGN ,,2010-01-01,2020-01-01,
AIG ,,2010-01-01,2020-01-01,
AIV ,,2010-01-01,2020-01-01,
AIZ ,,2010-01-01,2020-01-01,
AJG ,,2010-01-01,2020-01-01,
AKAM ,,2010-01-01,2020-01-01,
ALB ,,2010-01-01,2020-01-01,
ALGN ,,2010-01-01,2020-01-01,
ALK ,,2010-01-01,2020-01-01,
ALL ,,2010-01-01,2020-01-01,
ALLE ,,2010-01-01,2020-01-01,
